461,Skrtel,Slovakia,defender,360,0,202,4,0
462,Stoch,Slovakia,midfielder,193,2,76,1,0
463,Strba,Slovakia,midfielder,267,2,137,5,0
464,Vittek,Slovakia,forward,353,10,118,0,0
465,Weiss,Slovakia,midfielder,269,2,84,2,0
466,Zabavnuek,Slovakia,defender,268,1,94,8,0
467,Birsa,Slovenia,midfielder,261,6,61,5,0
468,Brecko,Slovenia,defender,270,1,95,5,0
469,Cesar,Slovenia,defender,270,1,89,2,0
470,Dedic,Slovenia,forward,84,0,22,1,0
471,Handanovic,Slovenia,goalkeeper,270,0,66,0,13
472,Jokic,Slovenia,defender,270,0,109,10,0
473,Kirm,Slovenia,midfielder,259,1,88,4,0
474,Komac,Slovenia,midfielder,4,0,3,1,0
475,Koren,Slovenia,midfielder,270,3,162,3,0
476,Ljubijankic,Slovenia,forward,173,2,36,2,0
477,Matavz,Slovenia,forward,11,0,4,0,0
478,Novakovic,Slovenia,forward,270,2,68,1,0
479,Pecnik,Slovenia,forward,21,0,4,1,0
480,Radosavljevic,Slovenia,midfielder,267,1,129,6,0
481,Suler,Slovenia,defender,270,0,102,5,0
482,Dikgacoi,South Africa,midfielder,180,2,108,4,0
483,Josephs,South Africa,goalkeeper,101,0,20,0,3
484,Khuboni,South Africa,midfielder,78,1,48,1,0
485,Khumalo,South Africa,defender,270,2,74,4,0
486,Khune,South Africa,goalkeeper,166,1,24,0,4
487,Letsholonyane,South Africa,midfielder,147,0,89,6,0
488,Masilela,South Africa,defender,225,0,107,6,0
489,Modise,South Africa,midfielder,192,5,111,4,0
490,Mokoena,South Africa,defender,270,0,83,5,0
491,Moriri,South Africa,midfielder,33,0,22,0,0
492,Mphela,South Africa,forward,270,10,60,2,0
493,Ngongca,South Africa,defender,55,0,21,1,0
494,Nomvete,South Africa,forward,22,0,5,1,0
495,Pa Gaxa,South Africa,defender,215,1,95,2,0
496,Parker,South Africa,forward,75,1,32,2,0
497,Pienaar,South Africa,midfielder,252,2,126,3,0
498,Sibaya,South Africa,midfielder,90,1,39,2,0
499,Thwala,South Africa,defender,45,0,19,2,0
500,Tshabalala,South Africa,midfielder,270,9,135,8,0
501,Cha Du-Ri,South Korea,defender,270,2,105,3,0
502,Cho Yong-Hyung,South Korea,defender,360,0,111,10,0
503,Jung Sung-Ryong,South Korea,goalkeeper,360,0,49,0,14
504,Ki Sung-Yong,South Korea,midfielder,292,2,162,6,0
505,Kim Dong-Jin,South Korea,defender,1,0,0,0,0
506,Kim Jae-Sung,South Korea,midfielder,65,0,37,0,0
507,Kim Jung-Woo,South Korea,midfielder,360,4,184,10,0
508,Kim Nam-Il,South Korea,midfielder,86,2,38,6,0
509,Lee Chung-Yong,South Korea,midfielder,359,7,147,12,0
510,Lee Dong-Gook,South Korea,forward,38,1,14,0,0
511,Lee Jung-Soo,South Korea,defender,360,2,164,8,0
512,Lee Seung-Yeoul,South Korea,forward,3,0,0,0,0
513,Lee Young-Pyo,South Korea,defender,360,2,160,2,0
514,Oh Beom-Seok,South Korea,defender,90,1,34,3,0
515,Park Chu-Young,South Korea,forward,347,14,96,0,0
516,Park Ji-Sung,South Korea,midfielder,360,5,127,13,0
517,Yeom Ki-Hun,South Korea,midfielder,249,2,80,6,0
518,Alonso,Spain,midfielder,506,9,465,18,0
